time,priority 1,pri1 / min,% of total pri1,priority 2,pri2 / min,% of total pri2,priority 3,pri3 / min,% of total pri3
2023-10-12 01:30:00,6,0.6,1.53,0,0.0,0.0,12,1.2,0.85
2023-10-12 01:40:00,3,0.3,0.77,4,0.4,3.48,11,1.1,0.78
2023-10-12 01:50:00,8,0.8,2.05,1,0.1,0.87,19,1.9,1.35
2023-10-12 02:00:00,1,0.1,0.26,0,0.0,0.0,15,1.5,1.06
2023-10-12 02:10:00,6,0.6,1.53,0,0.0,0.0,14,1.4,0.99
2023-10-12 02:20:00,8,0.8,2.05,0,0.0,0.0,15,1.5,1.06
2023-10-12 02:30:00,2,0.2,0.51,0,0.0,0.0,7,0.7,0.5
2023-10-12 02:40:00,2,0.2,0.51,4,0.4,3.48,14,1.4,0.99
2023-10-12 02:50:00,3,0.3,0.77,0,0.0,0.0,20,2.0,1.42
2023-10-12 03:00:00,10,1.0,2.56,2,0.2,1.74,33,3.3,2.34
2023-10-12 03:10:00,2,0.2,0.51,3,0.3,2.61,26,2.6,1.84
2023-10-12 03:20:00,5,0.5,1.28,3,0.3,2.61,12,1.2,0.85
2023-10-12 03:30:00,6,0.6,1.53,3,0.3,2.61,15,1.5,1.06
2023-10-12 03:40:00,1,0.1,0.26,0,0.0,0.0,7,0.7,0.5
2023-10-12 03:50:00,9,0.9,2.3,1,0.1,0.87,29,2.9,2.06
2023-10-12 04:00:00,14,1.4,3.58,3,0.3,2.61,19,1.9,1.35
2023-10-12 04:10:00,11,1.1,2.81,0,0.0,0.0,25,2.5,1.77
2023-10-12 04:20:00,5,0.5,1.28,0,0.0,0.0,20,2.0,1.42
2023-10-12 04:30:00,6,0.6,1.53,0,0.0,0.0,14,1.4,0.99
2023-10-12 04:40:00,1,0.1,0.26,0,0.0,0.0,34,3.4,2.41
2023-10-12 04:50:00,12,1.2,3.07,0,0.0,0.0,21,2.1,1.49
2023-10-12 05:00:00,1,0.1,0.26,4,0.4,3.48,31,3.1,2.2
2023-10-12 05:10:00,4,0.4,1.02,0,0.0,0.0,38,3.8,2.7
2023-10-12 05:20:00,8,0.8,2.05,2,0.2,1.74,36,3.6,2.55
2023-10-12 05:30:00,1,0.1,0.26,0,0.0,0.0,34,3.4,2.41
2023-10-12 05:40:00,14,1.4,3.58,2,0.2,1.74,33,3.3,2.34
2023-10-12 05:50:00,5,0.5,1.28,3,0.3,2.61,33,3.3,2.34
2023-10-12 06:00:00,6,0.6,1.53,0,0.0,0.0,24,2.4,1.7
2023-10-12 06:10:00,7,0.7,1.79,2,0.2,1.74,30,3.0,2.13
2023-10-12 06:20:00,6,0.6,1.53,3,0.3,2.61,31,3.1,2.2
2023-10-12 06:30:00,6,0.6,1.53,1,0.1,0.87,27,2.7,1.91
2023-10-12 06:40:00,1,0.1,0.26,3,0.3,2.61,29,2.9,2.06
2023-10-12 06:50:00,10,1.0,2.56,3,0.3,2.61,25,2.5,1.77
2023-10-12 07:00:00,12,1.2,3.07,2,0.2,1.74,24,2.4,1.7
2023-10-12 07:10:00,3,0.3,0.77,4,0.4,3.48,15,1.5,1.06
2023-10-12 07:20:00,5,0.5,1.28,2,0.2,1.74,33,3.3,2.34
2023-10-12 07:30:00,12,1.2,3.07,3,0.3,2.61,44,4.4,3.12
2023-10-12 07:40:00,7,0.7,1.79,0,0.0,0.0,37,3.7,2.62
2023-10-12 07:50:00,1,0.1,0.26,0,0.0,0.0,19,1.9,1.35
2023-10-12 08:00:00,4,0.4,1.02,5,0.5,4.35,41,4.1,2.91
2023-10-12 08:10:00,5,0.5,1.28,4,0.4,3.48,14,1.4,0.99
2023-10-12 08:20:00,0,0.0,0.0,2,0.2,1.74,19,1.9,1.35
2023-10-12 08:30:00,12,1.2,3.07,7,0.7,6.09,29,2.9,2.06
2023-10-12 08:40:00,13,1.3,3.32,2,0.2,1.74,20,2.0,1.42
2023-10-12 08:50:00,5,0.5,1.28,0,0.0,0.0,9,0.9,0.64
2023-10-12 09:00:00,9,0.9,2.3,0,0.0,0.0,26,2.6,1.84
2023-10-12 09:10:00,1,0.1,0.26,0,0.0,0.0,12,1.2,0.85
2023-10-12 09:20:00,18,1.8,4.6,0,0.0,0.0,37,3.7,2.62
2023-10-12 09:30:00,17,1.7,4.35,2,0.2,1.74,31,3.1,2.2
2023-10-12 09:40:00,9,0.9,2.3,11,1.1,9.57,21,2.1,1.49
2023-10-12 09:50:00,2,0.2,0.51,2,0.2,1.74,18,1.8,1.28
2023-10-12 10:00:00,8,0.8,2.05,6,0.6,5.22,40,4.0,2.84
2023-10-12 10:10:00,12,1.2,3.07,0,0.0,0.0,33,3.3,2.34
2023-10-12 10:20:00,16,1.6,4.09,6,0.6,5.22,34,3.4,2.41
2023-10-12 10:30:00,7,0.7,1.79,6,0.6,5.22,30,3.0,2.13
2023-10-12 10:40:00,8,0.8,2.05,4,0.4,3.48,24,2.4,1.7
2023-10-12 10:50:00,4,0.4,1.02,0,0.0,0.0,18,1.8,1.28
2023-10-12 11:00:00,9,0.9,2.3,0,0.0,0.0,23,2.3,1.63
2023-10-12 11:10:00,2,0.2,0.51,0,0.0,0.0,6,0.6,0.43
2023-10-12 11:20:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2023-10-12 11:30:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
